record_id,trip_start_date,trip_days,distance_km,transport_mode,tuk_engine_type,fuel_type,bus_type,occupancy,congestion_factor,terrain_factor,hotel_class,nightly_kwh_est,season,grid_ef_kgCO2_per_kWh,diesel_gen_l_per_night,water_heating,safari_engine_hours,festival_event,pilgrimage_support_km,pilgrimage_support_liters,meal_plan,food_emissions_kgCO2,rice_kg_per_day,rice_emissions_kgCO2,waste_kg_per_day,waste_method,waste_emissions_kgCO2,plastic_bottles_per_day,plastic_emissions_kgCO2,transport_emissions_kgCO2,accommodation_elec_kgCO2,accommodation_gen_kgCO2,festival_gen_emissions_kgCO2,pilgrimage_emissions_kgCO2,total_trip_emissions_kgCO2
1,2025-04-30,6,54.8,Public Bus,,Petrol,Public,27,0.91,1.15,Budget Hotel,8.44,wet,0.07,0.69,Electric Boiler,0.0,None,0,0.0,Local,16.884,0.0,0.0,0.999,Open Landfill,2.998,1,0.3,0.037,4.805,11.095,0.0,0.0,36.119
2,2025-08-05,5,39.4,Hybrid Car,,Petrol,,2,0.89,1.0,4-star,45.33,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Mixed,19.77,1.0,7.55,0.2,Open Landfill,0.5,2,0.5,0.715,198.142,0.0,0.0,0.0,227.177
3,2025-03-05,5,92.0,Hybrid Car,,LPG,,1,0.98,1.0,5-star,135.19,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,14.07,0.0,0.0,2.407,Sanitary Landfill,6.016,1,0.25,5.651,48.367,0.0,0.0,0.0,74.354
4,2025-05-29,6,83.3,Pilgrimage Support Truck,,Electric,,3,1.03,1.0,3-star,19.08,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Import-Heavy,40.824,0.0,0.0,0.494,Open Landfill,1.482,3,0.9,56.744,108.63,0.0,0.0,0.0,208.58
5,2025-02-06,6,143.8,Pilgrimage Support Truck,,LPG,,4,0.8,1.0,Budget Hotel,8.68,wet,0.07,0.0,Solar Thermal,0.0,None,0,0.0,Import-Heavy,40.824,1.0,9.06,1.165,Composting,0.349,2,0.6,66.253,3.644,0.0,0.0,0.0,120.731
6,2025-01-29,4,55.1,Public Bus,,LPG,Public,44,0.89,1.35,4-star,39.05,wet,0.07,0.0,Diesel Boiler,0.0,None,0,0.0,Local,11.256,1.0,6.04,2.282,Composting,0.456,3,0.6,0.022,10.934,16.08,0.0,0.0,45.388
7,2025-11-26,6,1.0,Private Car,,Petrol,,3,0.99,1.0,3-star,19.36,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,16.884,0.6,5.436,1.458,Incineration,1.75,2,0.6,0.051,9.391,0.0,0.0,0.0,34.112
8,2025-09-10,5,58.2,Hybrid Car,,Diesel,,1,1.15,1.0,5-star,123.38,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,14.07,1.5,11.325,1.722,Open Landfill,4.306,1,0.25,3.027,44.233,0.0,0.0,0.0,77.212
9,2025-01-06,7,1.0,Tuk-Tuk,2-stroke,Petrol,,1,0.8,1.0,Guesthouse,6.28,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Local,19.698,0.6,6.342,1.063,Sanitary Landfill,3.72,1,0.35,0.096,53.249,0.0,0.0,0.0,83.455
10,2025-09-14,8,104.9,Public Bus,,Petrol,Public,44,0.91,1.0,5-star,120.25,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Local,22.512,1.0,12.08,1.544,Composting,0.618,1,0.4,0.043,808.496,0.0,0.0,0.0,844.149
11,2025-01-01,3,1.0,Tourist Coach,,Petrol,Private,25,1.09,1.0,Budget Hotel,11.26,dry,0.82,0.0,Solar Thermal,0.0,None,0,0.0,Local,8.442,1.0,4.53,0.636,Sanitary Landfill,0.954,2,0.3,0.003,27.707,0.0,0.0,0.0,41.936
12,2025-09-06,6,20.7,Public Bus,,Electric,Public,11,1.32,1.35,Guesthouse,6.32,wet,0.07,0.0,Electric Boiler,0.0,None,0,0.0,Local,16.884,0.6,5.436,0.2,Open Landfill,0.6,2,0.6,0.05,3.913,0.0,0.0,0.0,27.482
13,2025-10-04,6,58.3,Train,,Electric,,117,1.33,1.0,3-star,21.55,wet,0.07,0.0,Diesel Boiler,0.0,None,0,0.0,Local,16.884,0.6,5.436,1.038,Incineration,1.246,3,0.9,0.02,9.052,24.12,0.0,0.0,57.658
14,2025-10-29,7,172.6,Tourist Coach,,LPG,Private,27,0.9,1.0,Budget Hotel,7.89,dry,0.82,0.0,Electric Boiler,0.0,None,0,0.0,Local,19.698,0.6,6.342,0.634,Open Landfill,2.218,3,1.05,0.403,62.533,0.0,0.0,0.0,92.244
15,2025-03-09,5,15.6,Public Bus,,LPG,Public,10,0.82,1.0,Guesthouse,6.09,dry,0.82,0.95,Diesel Boiler,0.0,Small Local Festival,0,0.0,Local,14.07,0.6,4.53,1.95,Composting,0.488,2,0.5,0.026,24.971,32.83,44.979,0.0,122.392
